"ID","CES_CODE","X","Y","Species","Year","Agecorrectedcode","Ntot","HS_01_AWM","HS_02_AWM","HS_04_AWM","HS_08_AWM","HS_12_AWM","HS_16_AWM","AUC"
"S001_cerbra_1996","S001",439400,4593800,"cerbra",1996,3,2,59.43,54.94,49.04,41.96,38.03,38.93,0.70
"S001_cerbra_1996","S001",439400,4593800,"cerbra",1996,4,2,59.43,54.94,49.04,41.96,38.03,38.93,0.70
"S001_cerbra_1996","S001",439400,4593800,"cerbra",1996,3,2,59.43,54.94,49.04,41.96,38.03,38.93,0.70
"S001_cerbra_1997","S001",439400,4593800,"cerbra",1997,3,0,59.43,54.94,49.04,41.96,38.03,38.93,0.70
"S001_cerbra_1997","S001",439400,4593800,"cerbra",1997,3,0,59.43,54.94,49.04,41.96,38.03,38.93,0.70
"S001_cerbra_1997","S001",439400,4593800,"cerbra",1997,3,0,59.43,54.94,49.04,41.96,38.03,38.93,0.70
"S001_cerbra_1999","S001",439400,4593800,"cerbra",1999,3,0,59.43,54.94,49.04,41.96,38.03,38.93,0.70
"S001_cerbra_2000","S001",439400,4593800,"cerbra",2000,4,1,59.43,54.94,49.04,41.96,38.03,38.93,0.70
"S001_cerbra_2001","S001",439400,4593800,"cerbra",2001,4,1,59.43,54.94,49.04,41.96,38.03,38.93,0.70
"S001_cerbra_2001","S001",439400,4593800,"cerbra",2001,3,1,59.43,54.94,49.04,41.96,38.03,38.93,0.70
"S001_cetcet_1997","S001",439400,4593800,"cetcet",1997,4,3,54.56,49.94,47.42,47.22,45.56,45.54,0.82
"S001_cetcet_1997","S001",439400,4593800,"cetcet",1997,3,3,54.56,49.94,47.42,47.22,45.56,45.54,0.82
"S001_cetcet_1997","S001",439400,4593800,"cetcet",1997,3,3,54.56,49.94,47.42,47.22,45.56,45.54,0.82
"S001_cetcet_1997","S001",439400,4593800,"cetcet",1997,3,3,54.56,49.94,47.42,47.22,45.56,45.54,0.82
"S001_cetcet_1997","S001",439400,4593800,"cetcet",1997,4,3,54.56,49.94,47.42,47.22,45.56,45.54,0.82
"S001_cetcet_1997","S001",439400,4593800,"cetcet",1997,3,3,54.56,49.94,47.42,47.22,45.56,45.54,0.82
"S001_cetcet_1997","S001",439400,4593800,"cetcet",1997,4,3,54.56,49.94,47.42,47.22,45.56,45.54,0.82
"S001_cetcet_1997","S001",439400,4593800,"cetcet",1997,3,3,54.56,49.94,47.42,47.22,45.56,45.54,0.82
"S001_cetcet_1997","S001",439400,4593800,"cetcet",1997,3,3,54.56,49.94,47.42,47.22,45.56,45.54,0.82
"S001_cetcet_1998","S001",439400,4593800,"cetcet",1998,4,3,54.56,49.94,47.42,47.22,45.56,45.54,0.82
"S001_cetcet_1998","S001",439400,4593800,"cetcet",1998,4,3,54.56,49.94,47.42,47.22,45.56,45.54,0.82
"S001_cetcet_1998","S001",439400,4593800,"cetcet",1998,4,3,54.56,49.94,47.42,47.22,45.56,45.54,0.82
"S001_cetcet_2001","S001",439400,4593800,"cetcet",2001,4,1,54.56,49.94,47.42,47.22,45.56,45.54,0.82
"S001_erirub_2001","S001",439400,4593800,"erirub",2001,3,0,48.36,43.92,39.44,34.40,31.72,33.08,0.71
"S001_hippol_1996","S001",439400,4593800,"hippol",1996,3,3,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_1996","S001",439400,4593800,"hippol",1996,4,3,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_1996","S001",439400,4593800,"hippol",1996,4,3,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_1996","S001",439400,4593800,"hippol",1996,4,3,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_1997","S001",439400,4593800,"hippol",1997,4,3,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_1997","S001",439400,4593800,"hippol",1997,4,3,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_1997","S001",439400,4593800,"hippol",1997,4,3,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_1998","S001",439400,4593800,"hippol",1998,4,10,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_1998","S001",439400,4593800,"hippol",1998,4,10,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_1998","S001",439400,4593800,"hippol",1998,4,10,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_1998","S001",439400,4593800,"hippol",1998,4,10,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_1998","S001",439400,4593800,"hippol",1998,4,10,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_1998","S001",439400,4593800,"hippol",1998,4,10,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_1998","S001",439400,4593800,"hippol",1998,4,10,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_1998","S001",439400,4593800,"hippol",1998,4,10,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_1998","S001",439400,4593800,"hippol",1998,4,10,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_1998","S001",439400,4593800,"hippol",1998,4,10,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_1999","S001",439400,4593800,"hippol",1999,4,5,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_1999","S001",439400,4593800,"hippol",1999,4,5,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_1999","S001",439400,4593800,"hippol",1999,4,5,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_1999","S001",439400,4593800,"hippol",1999,4,5,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_1999","S001",439400,4593800,"hippol",1999,4,5,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_2000","S001",439400,4593800,"hippol",2000,4,7,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_2000","S001",439400,4593800,"hippol",2000,4,7,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_2000","S001",439400,4593800,"hippol",2000,4,7,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_2000","S001",439400,4593800,"hippol",2000,4,7,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_2000","S001",439400,4593800,"hippol",2000,4,7,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_2000","S001",439400,4593800,"hippol",2000,4,7,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_2000","S001",439400,4593800,"hippol",2000,4,7,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_2001","S001",439400,4593800,"hippol",2001,4,2,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_hippol_2001","S001",439400,4593800,"hippol",2001,4,2,64.74,59.45,53.33,47.27,43.28,43.28,0.76
"S001_lusmeg_1996","S001",439400,4593800,"lusmeg",1996,4,1,58.38,54.29,49.91,44.95,42.11,42.52,0.68
"S001_lusmeg_1997","S001",439400,4593800,"lusmeg",1997,4,7,58.38,54.29,49.91,44.95,42.11,42.52,0.68
"S001_lusmeg_1997","S001",439400,4593800,"lusmeg",1997,4,7,58.38,54.29,49.91,44.95,42.11,42.52,0.68
"S001_lusmeg_1997","S001",439400,4593800,"lusmeg",1997,4,7,58.38,54.29,49.91,44.95,42.11,42.52,0.68
"S001_lusmeg_1997","S001",439400,4593800,"lusmeg",1997,4,7,58.38,54.29,49.91,44.95,42.11,42.52,0.68
"S001_lusmeg_1997","S001",439400,4593800,"lusmeg",1997,4,7,58.38,54.29,49.91,44.95,42.11,42.52,0.68
"S001_lusmeg_1997","S001",439400,4593800,"lusmeg",1997,4,7,58.38,54.29,49.91,44.95,42.11,42.52,0.68
"S001_lusmeg_1997","S001",439400,4593800,"lusmeg",1997,4,7,58.38,54.29,49.91,44.95,42.11,42.52,0.68
"S001_lusmeg_1998","S001",439400,4593800,"lusmeg",1998,4,7,58.38,54.29,49.91,44.95,42.11,42.52,0.68
"S001_lusmeg_1998","S001",439400,4593800,"lusmeg",1998,4,7,58.38,54.29,49.91,44.95,42.11,42.52,0.68
"S001_lusmeg_1998","S001",439400,4593800,"lusmeg",1998,4,7,58.38,54.29,49.91,44.95,42.11,42.52,0.68
"S001_lusmeg_1998","S001",439400,4593800,"lusmeg",1998,4,7,58.38,54.29,49.91,44.95,42.11,42.52,0.68
"S001_lusmeg_1998","S001",439400,4593800,"lusmeg",1998,4,7,58.38,54.29,49.91,44.95,42.11,42.52,0.68
"S001_lusmeg_1998","S001",439400,4593800,"lusmeg",1998,4,7,58.38,54.29,49.91,44.95,42.11,42.52,0.68
"S001_lusmeg_1998","S001",439400,4593800,"lusmeg",1998,3,7,58.38,54.29,49.91,44.95,42.11,42.52,0.68
"S001_lusmeg_1998","S001",439400,4593800,"lusmeg",1998,3,7,58.38,54.29,49.91,44.95,42.11,42.52,0.68
"S001_lusmeg_1998","S001",439400,4593800,"lusmeg",1998,4,7,58.38,54.29,49.91,44.95,42.11,42.52,0.68
"S001_lusmeg_2000","S001",439400,4593800,"lusmeg",2000,4,1,58.38,54.29,49.91,44.95,42.11,42.52,0.68
"S001_lusmeg_2001","S001",439400,4593800,"lusmeg",2001,4,4,58.38,54.29,49.91,44.95,42.11,42.52,0.68
"S001_lusmeg_2001","S001",439400,4593800,"lusmeg",2001,4,4,58.38,54.29,49.91,44.95,42.11,42.52,0.68
"S001_lusmeg_2001","S001",439400,4593800,"lusmeg",2001,4,4,58.38,54.29,49.91,44.95,42.11,42.52,0.68
"S001_lusmeg_2001","S001",439400,4593800,"lusmeg",2001,4,4,58.38,54.29,49.91,44.95,42.11,42.52,0.68
"S001_parcae_1996","S001",439400,4593800,"parcae",1996,4,1,48.78,47.39,44.10,40.51,38.16,39.78,0.71
"S001_parcae_1996","S001",439400,4593800,"parcae",1996,3,1,48.78,47.39,44.10,40.51,38.16,39.78,0.71
"S001_parcae_1996","S001",439400,4593800,"parcae",1996,3,1,48.78,47.39,44.10,40.51,38.16,39.78,0.71
"S001_parcae_1997","S001",439400,4593800,"parcae",1997,4,1,48.78,47.39,44.10,40.51,38.16,39.78,0.71
"S001_parcae_1998","S001",439400,4593800,"parcae",1998,4,1,48.78,47.39,44.10,40.51,38.16,39.78,0.71
"S001_parcae_2001","S001",439400,4593800,"parcae",2001,3,0,48.78,47.39,44.10,40.51,38.16,39.78,0.71
"S001_parmaj_1996","S001",439400,4593800,"parmaj",1996,3,2,58.61,54.97,50.25,44.73,41.35,41.82,0.64
"S001_parmaj_1996","S001",439400,4593800,"parmaj",1996,4,2,58.61,54.97,50.25,44.73,41.35,41.82,0.64
"S001_parmaj_1996","S001",439400,4593800,"parmaj",1996,4,2,58.61,54.97,50.25,44.73,41.35,41.82,0.64
"S001_parmaj_1996","S001",439400,4593800,"parmaj",1996,3,2,58.61,54.97,50.25,44.73,41.35,41.82,0.64
"S001_parmaj_1996","S001",439400,4593800,"parmaj",1996,3,2,58.61,54.97,50.25,44.73,41.35,41.82,0.64
"S001_parmaj_1996","S001",439400,4593800,"parmaj",1996,3,2,58.61,54.97,50.25,44.73,41.35,41.82,0.64
"S001_parmaj_1996","S001",439400,4593800,"parmaj",1996,3,2,58.61,54.97,50.25,44.73,41.35,41.82,0.64
"S001_parmaj_1996","S001",439400,4593800,"parmaj",1996,3,2,58.61,54.97,50.25,44.73,41.35,41.82,0.64
"S001_parmaj_1996","S001",439400,4593800,"parmaj",1996,3,2,58.61,54.97,50.25,44.73,41.35,41.82,0.64
"S001_parmaj_1996","S001",439400,4593800,"parmaj",1996,3,2,58.61,54.97,50.25,44.73,41.35,41.82,0.64
"S001_parmaj_1997","S001",439400,4593800,"parmaj",1997,3,1,58.61,54.97,50.25,44.73,41.35,41.82,0.64
"S001_parmaj_1997","S001",439400,4593800,"parmaj",1997,4,1,58.61,54.97,50.25,44.73,41.35,41.82,0.64
"S001_parmaj_1998","S001",439400,4593800,"parmaj",1998,4,2,58.61,54.97,50.25,44.73,41.35,41.82,0.64
"S001_parmaj_1998","S001",439400,4593800,"parmaj",1998,4,2,58.61,54.97,50.25,44.73,41.35,41.82,0.64
"S001_parmaj_2000","S001",439400,4593800,"parmaj",2000,4,4,58.61,54.97,50.25,44.73,41.35,41.82,0.64
"S001_parmaj_2000","S001",439400,4593800,"parmaj",2000,4,4,58.61,54.97,50.25,44.73,41.35,41.82,0.64
"S001_parmaj_2000","S001",439400,4593800,"parmaj",2000,4,4,58.61,54.97,50.25,44.73,41.35,41.82,0.64
"S001_parmaj_2000","S001",439400,4593800,"parmaj",2000,3,4,58.61,54.97,50.25,44.73,41.35,41.82,0.64
"S001_parmaj_2000","S001",439400,4593800,"parmaj",2000,4,4,58.61,54.97,50.25,44.73,41.35,41.82,0.64
"S001_parmaj_2001","S001",439400,4593800,"parmaj",2001,4,4,58.61,54.97,50.25,44.73,41.35,41.82,0.64
"S001_parmaj_2001","S001",439400,4593800,"parmaj",2001,4,4,58.61,54.97,50.25,44.73,41.35,41.82,0.64
"S001_parmaj_2001","S001",439400,4593800,"parmaj",2001,3,4,58.61,54.97,50.25,44.73,41.35,41.82,0.64
"S001_parmaj_2001","S001",439400,4593800,"parmaj",2001,4,4,58.61,54.97,50.25,44.73,41.35,41.82,0.64
"S001_parmaj_2001","S001",439400,4593800,"parmaj",2001,4,4,58.61,54.97,50.25,44.73,41.35,41.82,0.64
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,3,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,3,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,3,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,3,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,0,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,3,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,3,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,3,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,3,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,3,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,3,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,3,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,3,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,3,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,3,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,3,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,3,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,3,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,3,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,3,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1996","S001",439400,4593800,"pasdom",1996,4,32,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
"S001_pasdom_1997","S001",439400,4593800,"pasdom",1997,4,49,56.31,54.27,52.81,50.14,47.86,48.33,0.68
